"","x"
"1",0.821151733398438
"2",0.827479407191277
"3",0.849136024713516
"4",0.616134434938431
"5",0.58485209941864
"6",0.225079357624054
"7",0.206943154335022
"8",0.775889798998833
"9",0.838713377714157
"10",0.172458946704865
"11",0.771408095955849
"12",0.177610576152802
"13",0.769253373146057
"14",0.761826232075691
"15",0.228594124317169
"16",0.809230118989944
"17",0.798388451337814
"18",0.849136024713516
"19",0.838713377714157
"20",0.134399592876434
"21",0.754596933722496
"22",0.616134434938431
"23",0.471043348312378
"24",0.159472405910492
"25",0.702231764793396
"26",0.797300919890404
"27",0.754596933722496
"28",0.726420938968658
"29",0.838713377714157
"30",0.238821923732758
"31",0.111630082130432
"32",0.849136024713516
"33",0.682427585124969
"34",0.281094610691071
"35",0.288770735263824
"36",0.159982860088348
"37",0.159472405910492
"38",0.849136024713516
"39",0.849136024713516
"40",0.807617127895355
"41",0.652597367763519
"42",0.194116652011871
"43",0.771408095955849
"44",0.682427585124969
"45",0.849136024713516
"46",0.250175595283508
"47",0.593915373086929
"48",0.838713377714157
"49",0.780191451311111
"50",0.703890562057495
"51",0.15984183549881
"52",0.111630082130432
"53",0.798582032322884
"54",0.180415332317352
"55",0.798582032322884
"56",0.821151733398438
"57",0.228594124317169
"58",0.159982860088348
"59",0.159982860088348
"60",0.838713377714157
"61",0.783003300428391
"62",0.401898145675659
"63",0.849136024713516
"64",0.244861125946045
"65",0.691396057605743
"66",0.766997143626213
"67",0.172458946704865
"68",0.194116652011871
"69",0.843452394008636
"70",0.763828456401825
"71",0.827479407191277
"72",0.843452394008636
"73",0.180415332317352
"74",0.795018523931503
"75",0.849136024713516
"76",0.838713377714157
"77",0.699746370315552
"78",0.21607506275177
"79",0.757151305675507
"80",0.791645064949989
"81",0.754596933722496
"82",0.827479407191277
"83",0.359791219234467
"84",0.80473256111145
"85",0.707555562257767
"86",0.746321350336075
"87",0.778287634253502
"88",0.769253373146057
"89",0.143669545650482
"90",0.270632088184357
"91",0.135949373245239
"92",0.349233269691467
"93",0.832714453339577
"94",0.111630082130432
"95",0.80473256111145
"96",0.838713377714157
"97",0.843034788966179
"98",0.754596933722496
"99",0.849136024713516
"100",0.833036705851555
"101",0.401898145675659
"102",0.769253373146057
"103",0.849136024713516
"104",0.703890562057495
"105",0.180415332317352
"106",0.754596933722496
"107",0.754596933722496
"108",0.703890562057495
"109",0.73404660820961
"110",0.713475108146667
"111",0.769253373146057
"112",0.849136024713516
"113",0.647552102804184
"114",0.135949373245239
"115",0.849136024713516
"116",0.682427585124969
"117",0.827479407191277
"118",0.754596933722496
"119",0.707555562257767
"120",0.754596933722496
"121",0.763828456401825
"122",0.362323582172394
"123",0.0977199077606201
"124",0.757151305675507
"125",0.691396057605743
"126",0.771408095955849
"127",0.739645540714264
"128",0.827479407191277
"129",0.111630082130432
"130",0.81986291706562
"131",0.769253373146057
"132",0.180415332317352
"133",0.739645540714264
"134",0.827479407191277
"135",0.496803283691406
"136",0.836832031607628
"137",0.754596933722496
"138",0.836832031607628
"139",0.129495203495026
"140",0.111630082130432
"141",0.827479407191277
"142",0.838713377714157
"143",0.312138140201569
"144",0.745136916637421
"145",0.238821923732758
"146",0.843757852911949
"147",0.716109603643417
"148",0.200367748737335
"149",0.825733795762062
"150",0.682427585124969
"151",0.815042689442635
"152",0.739645540714264
"153",0.754596933722496
"154",0.494260549545288
"155",0.682427585124969
"156",0.849136024713516
"157",0.605585187673569
"158",0.769253373146057
"159",0.238821923732758
"160",0.821539521217346
"161",0.815885007381439
"162",0.771408095955849
"163",0.472028613090515
"164",0.754596933722496
"165",0.772303715348244
"166",0.172458946704865
"167",0.20700865983963
"168",0.754596933722496
"169",0.807083949446678
"170",0.798388451337814
"171",0.843757852911949
"172",0.0996622443199158
"173",0.773264974355698
"174",0.849136024713516
"175",0.849136024713516
"176",0.81780943274498
"177",0.111630082130432
"178",0.849136024713516
"179",0.200367748737335
"180",0.821151733398438
"181",0.791645064949989
"182",0.849136024713516
"183",0.703890562057495
"184",0.806395292282104
"185",0.849136024713516
"186",0.838713377714157
"187",0.791645064949989
"188",0.813796490430832
"189",0.760237365961075
"190",0.827479407191277
"191",0.849136024713516
"192",0.622169345617294
"193",0.111630082130432
"194",0.328673779964447
"195",0.836832031607628
"196",0.203446745872498
"197",0.194116652011871
"198",0.713475108146667
"199",0.791645064949989
"200",0.238821923732758
"201",0.771408095955849
"202",0.836832031607628
"203",0.200367748737335
"204",0.762392103672028
"205",0.111630082130432
"206",0.843757852911949
"207",0.843757852911949
"208",0.703890562057495
"209",0.471043348312378
"210",0.194116652011871
"211",0.349233269691467
"212",0.849136024713516
"213",0.716044276952744
"214",0.228594124317169
"215",0.377266883850098
"216",0.180415332317352
"217",0.815885007381439
"218",0.180415332317352
"219",0.111630082130432
"220",0.238821923732758
"221",0.288770735263824
"222",0.471043348312378
"223",0.135949373245239
"224",0.703890562057495
"225",0.703890562057495
"226",0.843757852911949
"227",0.253498375415802
"228",0.120878040790558
"229",0.603496551513672
"230",0.703890562057495
"231",0.561763912439346
"232",0.849136024713516
"233",0.301608204841614
"234",0.111630082130432
"235",0.827479407191277
"236",0.111630082130432
"237",0.843757852911949
"238",0.716044276952744
"239",0.822236120700836
"240",0.401898145675659
"241",0.349233269691467
"242",0.716044276952744
"243",0.771408095955849
"244",0.734567523002625
"245",0.261042296886444
"246",0.180822908878326
"247",0.111630082130432
"248",0.689955562353134
"249",0.315533697605133
"250",0.838713377714157
"251",0.352825343608856
"252",0.610240519046783
"253",0.827479407191277
"254",0.849136024713516
"255",0.177610576152802
"256",0.849136024713516
"257",0.691396057605743
"258",0.807083949446678
"259",0.754596933722496
"260",0.159982860088348
"261",0.270632088184357
"262",0.111630082130432
"263",0.778287634253502
"264",0.285022974014282
"265",0.807083949446678
"266",0.746017217636108
"267",0.819698497653008
"268",0.135949373245239
"269",0.849136024713516
"270",0.754596933722496
"271",0.702231764793396
"272",0.843452394008636
"273",0.798388451337814
"274",0.849136024713516
"275",0.849136024713516
"276",0.836832031607628
"277",0.111630082130432
"278",0.81986291706562
"279",0.613904118537903
"280",0.780438244342804
"281",0.827479407191277
"282",0.180415332317352
"283",0.801503092050552
"284",0.838713377714157
"285",0.801503092050552
"286",0.807083949446678
"287",0.242312848567963
"288",0.593915373086929
"289",0.496803283691406
"290",0.689955562353134
"291",0.849136024713516
"292",0.64030995965004
"293",0.754596933722496
"294",0.674256324768066
"295",0.834768980741501
"296",0.838713377714157
"297",0.674256324768066
"298",0.703890562057495
"299",0.541030317544937
"300",0.807083949446678
"301",0.784549027681351
"302",0.819698497653008
"303",0.703890562057495
"304",0.71441924571991
"305",0.203738152980804
"306",0.838713377714157
"307",0.120878040790558
"308",0.827479407191277
"309",0.849136024713516
"310",0.754596933722496
"311",0.849136024713516
"312",0.771408095955849
"313",0.849136024713516
"314",0.244861125946045
"315",0.362323582172394
"316",0.228594124317169
"317",0.806756466627121
